Concurso;Data;Coluna 1;Coluna 2;Coluna 3;Coluna 4;Coluna 5;Ganhadores;Prêmio
1192;30/08/2003;3;18;70;79;80;2;204223,14
1193;02/09/2003;7;9;70;73;74;3;115271,90
1194;04/09/2003;4;15;46;54;59;2;178078,41
1195;06/09/2003;7;22;47;61;64;2;211594,98
1196;09/09/2003;12;14;38;61;62;2;171935,94
1197;11/09/2003;5;21;43;51;66;2;176781,04
1198;13/09/2003;9;13;28;48;80;10;41297,25
1199;16/09/2003;24;26;32;40;56;3;111357,03
1200;18/09/2003;16;30;42;58;65;4;84317,08
1201;20/09/2003;10;13;42;60;61;6;65117,46
1202;23/09/2003;31;38;62;73;76;2;157855,11
1203;25/09/2003;9;34;39;42;75;4;78197,63
1204;27/09/2003;5;7;30;49;62;2;182625,13
1205;30/09/2003;17;30;37;44;77;1;300123,27
1206;02/10/2003;3;9;33;37;40;8;40337,92
1207;04/10/2003;11;25;43;61;71;1;379288,08
1208;07/10/2003;8;14;53;67;69;13;23684,16
1209;09/10/2003;24;36;43;73;75;3;105844,93
1210;11/10/2003;11;29;31;49;51;3;121412,67
1211;14/10/2003;19;40;52;65;78;2;148822,53
1212;16/10/2003;14;32;52;72;75;3;102611,49
1213;18/10/2003;7;24;41;52;77;0;
1214;21/10/2003;1;7;40;42;47;7;104187,65
1215;23/10/2003;19;22;32;65;71;0;
1216;25/10/2003;38;43;44;48;77;6;120015,15
1217;28/10/2003;7;12;19;58;72;6;46598,33
1218;30/10/2003;10;21;29;54;78;2;145579,79
1219;01/11/2003;9;19;34;55;60;0;
1220;04/11/2003;37;39;44;59;75;2;383587,83
1221;06/11/2003;3;15;52;66;76;1;317063,19
1222;08/11/2003;26;33;46;58;79;0;
1223;11/11/2003;16;42;51;61;66;2;370962,52
1224;13/11/2003;10;13;18;78;79;1;306107,50
1225;15/11/2003;6;25;35;38;40;2;139450,64
1226;18/11/2003;14;18;25;35;66;0;
1227;20/11/2003;45;53;68;73;77;2;304339,40
1228;22/11/2003;28;31;40;52;55;0;
1229;25/11/2003;30;35;40;50;67;0;
1230;27/11/2003;2;49;51;68;80;0;
1231;29/11/2003;16;44;49;50;53;1;1560089,84
1232;02/12/2003;38;49;58;66;70;1;294542,35
1233;04/12/2003;4;31;35;45;72;1;312834,60
1234;06/12/2003;5;33;39;44;52;0;
1235;09/12/2003;5;27;53;69;72;3;242051,81
1236;11/12/2003;31;32;52;53;54;4;79708,67
1237;13/12/2003;19;21;49;53;76;3;122181,11
1238;16/12/2003;6;16;33;36;47;1;296002,54
1239;18/12/2003;60;62;64;65;68;4;80472,96
1240;20/12/2003;19;26;30;43;46;2;186855,16
1241;23/12/2003;12;24;28;37;71;0;
1242;27/12/2003;8;13;24;26;34;5;146329,42
1243;30/12/2003;29;39;59;60;65;0;
1244;03/01/2004;4;10;44;63;76;4;183423,71
1245;06/01/2004;4;20;53;59;70;0;
1246;08/01/2004;18;22;44;63;75;1;661117,90
1247;10/01/2004;14;16;26;29;47;2;175008,83
1248;13/01/2004;4;5;19;29;41;2;144988,06
1249;15/01/2004;8;34;35;51;79;0;
1250;17/01/2004;4;5;10;68;77;4;174171,10
1251;20/01/2004;35;51;52;71;77;0;
1252;22/01/2004;1;8;34;56;80;1;620467,08
1253;24/01/2004;3;35;44;65;77;0;
1254;27/01/2004;16;30;31;55;69;1;657209,10
1255;29/01/2004;4;31;57;68;76;0;
1256;31/01/2004;5;7;11;29;41;3;217960,99
1257;03/02/2004;15;30;43;63;64;1;271538,24
1258;05/02/2004;16;28;33;57;64;5;58433,44
1259;07/02/2004;14;16;38;46;50;0;
1260;10/02/2004;4;13;32;33;51;3;231286,15
1261;12/02/2004;4;25;45;62;78;0;
1262;14/02/2004;22;23;25;36;39;0;
1263;17/02/2004;8;19;39;70;80;1;1132040,84
1264;19/02/2004;2;17;20;54;71;3;97020,70
1265;21/02/2004;11;21;28;38;64;1;309657,99
1266;26/02/2004;17;18;49;50;63;0;
1267;28/02/2004;21;26;39;66;76;1;646483,27
1268;02/03/2004;30;37;48;57;76;0;
1269;04/03/2004;13;19;38;39;49;0;
1270;06/03/2004;4;25;36;46;63;0;
1271;09/03/2004;1;19;34;39;68;0;
1272;11/03/2004;5;13;14;64;68;8;272421,97
1273;13/03/2004;15;26;31;41;56;2;176529,49
1274;16/03/2004;42;43;60;62;80;0;
1275;18/03/2004;19;38;47;49;74;1;680891,68
1276;20/03/2004;3;14;24;33;75;2;169430,06
1277;23/03/2004;13;18;29;30;44;1;280333,51
1278;25/03/2004;9;15;33;40;74;0;
1279;27/03/2004;6;18;24;39;70;1;683616,21
1280;30/03/2004;11;13;24;29;48;2;132677,58
1281;01/04/2004;27;39;50;74;76;0;
1282;03/04/2004;46;65;67;69;70;1;684760,40
1283;06/04/2004;15;21;29;40;52;2;137266,26
1284;08/04/2004;4;9;44;45;77;1;289929,64
1285;10/04/2004;19;34;58;60;72;1;239676,93
1286;13/04/2004;41;43;49;56;58;2;137118,84
1287;15/04/2004;12;34;35;44;63;2;144406,13
1288;17/04/2004;1;4;23;65;74;0;
1289;20/04/2004;37;61;68;71;76;1;686125,82
1290;22/04/2004;52;53;61;66;78;0;
1291;24/04/2004;17;46;53;58;63;1;640263,99
1292;27/04/2004;15;26;32;56;60;0;
1293;29/04/2004;5;36;75;77;78;0;
1294;01/05/2004;8;9;42;55;57;0;
1295;04/05/2004;2;22;24;56;78;4;346935,95
1296;06/05/2004;6;7;36;49;54;1;307177,08
1297;08/05/2004;29;33;51;56;58;2;170578,08
1298;11/05/2004;12;24;60;66;77;0;
1299;13/05/2004;33;50;52;73;79;0;
1300;15/05/2004;16;34;38;54;65;1;1056859,47
1301;18/05/2004;53;55;63;64;75;0;
1302;20/05/2004;7;10;15;26;77;1;608506,95
1303;22/05/2004;5;9;39;49;69;3;106566,53
1304;25/05/2004;4;5;27;64;72;1;256460,74
1305;27/05/2004;7;8;18;25;35;3;90630,72
1306;29/05/2004;29;34;40;45;47;1;311468,06
1307;01/06/2004;9;16;36;48;67;2;132192,86
1308;03/06/2004;15;47;71;72;74;0;
1309;05/06/2004;5;28;36;39;80;1;688377,44
1310;08/06/2004;15;20;31;35;69;1;279396,07
1311;12/06/2004;34;38;52;65;74;0;
1312;15/06/2004;12;22;31;36;47;1;732593,15
1313;17/06/2004;14;27;39;41;49;3;96057,83
1314;19/06/2004;10;38;47;68;76;1;317104,32
1315;22/06/2004;5;33;38;51;65;1;266180,13
1316;24/06/2004;39;42;51;70;71;0;
1317;26/06/2004;5;29;39;66;68;0;
1318;29/06/2004;5;10;39;66;78;1;1009161,95
1319;01/07/2004;18;24;32;37;39;2;148638,25
1320;03/07/2004;9;33;37;61;69;0;
1321;06/07/2004;18;34;39;65;66;1;712261,90
1322;08/07/2004;16;28;43;47;68;0;
1323;10/07/2004;19;31;52;55;75;1;704432,36
1324;13/07/2004;3;34;47;48;71;0;
1325;15/07/2004;20;22;25;27;73;0;
1326;17/07/2004;24;44;58;67;77;0;
1327;20/07/2004;7;18;44;57;61;1;1605615,48
1328;22/07/2004;4;14;47;70;73;0;
1329;24/07/2004;21;25;59;74;80;0;
1330;27/07/2004;22;45;52;56;71;0;
1331;29/07/2004;27;30;38;40;46;0;
1332;31/07/2004;19;21;25;44;71;3;719823,42
1333;03/08/2004;14;23;46;70;75;0;
1334;05/08/2004;12;22;49;50;63;2;351808,24
1335;07/08/2004;13;32;69;76;79;1;367493,80
1336;10/08/2004;1;5;26;41;67;1;298779,72
1337;12/08/2004;19;21;36;58;79;2;156221,17
1338;14/08/2004;9;15;19;45;75;2;173386,34
1339;17/08/2004;22;26;27;41;79;0;
1340;19/08/2004;12;27;48;66;67;0;
1341;21/08/2004;13;15;33;41;48;6;178742,83
1342;24/08/2004;21;35;61;69;80;1;273371,28
1343;26/08/2004;18;21;30;34;66;1;275951,02
1344;28/08/2004;32;47;73;79;80;1;319145,82
1345;31/08/2004;22;35;54;61;66;1;265302,92
1346;02/09/2004;11;13;28;32;58;1;292657,82
1347;04/09/2004;18;30;37;45;70;0;
1348;09/09/2004;4;30;52;64;72;2;377780,17
1349;11/09/2004;3;35;45;49;76;1;340077,38
1350;14/09/2004;18;28;53;64;69;1;277136,56
1351;16/09/2004;8;12;36;43;48;1;292188,27
1352;18/09/2004;9;11;40;52;79;3;107258,20
1353;21/09/2004;4;16;42;45;58;2;131347,98
1354;23/09/2004;4;14;22;40;53;0;
1355;25/09/2004;4;13;30;32;55;2;310184,74
1356;28/09/2004;5;41;42;54;72;0;
1357;30/09/2004;15;16;59;68;78;0;
1358;02/10/2004;16;24;44;72;78;1;964473,12
1359;05/10/2004;12;26;50;60;74;1;267013,11
1360;07/10/2004;5;9;51;53;58;0;
1361;09/10/2004;12;39;46;73;77;2;345506,89
1362;14/10/2004;20;43;54;63;72;1;339817,76
1363;16/10/2004;31;53;54;62;73;1;330673,44
1364;19/10/2004;6;35;37;42;56;2;135178,89
1365;21/10/2004;11;12;32;53;59;1;289037,91
1366;23/10/2004;6;59;61;76;80;0;
1367;26/10/2004;23;37;56;71;77;0;
1368;28/10/2004;38;59;69;70;71;0;
1369;30/10/2004;12;13;17;19;67;2;751558,99
1370;04/11/2004;2;38;47;57;63;0;
1371;06/11/2004;5;20;52;64;74;1;743972,03
1372;09/11/2004;14;19;21;54;78;0;
1373;11/11/2004;21;47;66;67;78;3;214080,29
1374;13/11/2004;32;60;62;64;77;2;165953,83
1375;18/11/2004;6;26;27;68;70;2;190295,61
1376;20/11/2004;35;42;45;63;78;1;325478,35
1377;23/11/2004;6;7;15;60;67;1;271155,87
1378;25/11/2004;19;39;54;55;61;2;141372,36
1379;27/11/2004;33;46;50;66;76;1;313060,21
1380;30/11/2004;39;50;55;76;78;0;
1381;02/12/2004;5;24;28;31;45;1;619173,43
1382;04/12/2004;7;9;22;53;64;1;340420,46
1383;07/12/2004;48;56;59;62;80;0;
1384;09/12/2004;22;29;33;59;60;0;
1385;11/12/2004;11;39;43;48;62;0;
1386;14/12/2004;18;33;44;49;69;2;772057,21
1387;16/12/2004;42;69;73;78;80;0;
1388;18/12/2004;6;39;48;52;57;0;
1389;21/12/2004;11;40;68;72;74;0;
1390;23/12/2004;17;19;42;43;64;3;547780,82
1391;28/12/2004;21;28;39;67;76;0;
1392;30/12/2004;9;48;57;71;76;1;805959,28
1393;04/01/2005;2;17;51;67;74;0;
1394;06/01/2005;2;52;57;64;78;2;363547,87
1395;08/01/2005;4;14;31;34;70;2;166380,09
1396;11/01/2005;4;16;24;72;73;2;145748,16
1397;13/01/2005;13;21;30;38;58;1;314873,88
1398;15/01/2005;43;51;60;67;77;0;
1399;18/01/2005;8;16;26;27;43;1;698027,23
1400;20/01/2005;41;45;52;74;80;0;
1401;22/01/2005;5;18;38;41;63;3;225309,10
1402;25/01/2005;42;43;47;72;76;1;261597,41
1403;27/01/2005;4;17;69;70;74;2;145675,04
1404;29/01/2005;5;52;63;66;70;0;
1405;01/02/2005;4;9;43;67;68;1;670361,63
1406;03/02/2005;9;16;24;69;70;0;
1407;05/02/2005;1;28;30;64;72;2;339464,93
1408;10/02/2005;19;21;23;38;45;3;99534,42
1409;12/02/2005;12;48;50;65;79;0;
1410;15/02/2005;5;32;35;37;74;3;224451,97
1411;17/02/2005;1;11;13;16;20;6;48385,92
1412;19/02/2005;5;19;74;77;78;2;158450,57
1413;22/02/2005;29;31;54;56;61;0;
1414;24/02/2005;22;26;44;56;78;1;620999,91
1415;26/02/2005;17;19;30;42;73;1;315302,71
1416;01/03/2005;2;34;54;60;72;1;279981,59
1417;03/03/2005;8;36;46;65;78;0;
1418;05/03/2005;23;29;35;52;75;2;351003,11
1419;08/03/2005;11;46;49;64;69;0;
1420;10/03/2005;4;59;61;69;71;0;
1421;12/03/2005;13;52;54;61;70;1;1083208,98
1422;15/03/2005;3;8;10;14;63;2;138789,70
1423;17/03/2005;12;14;23;49;63;0;
1424;19/03/2005;3;21;32;54;66;1;671354,16
1425;22/03/2005;1;11;18;29;76;0;
1426;24/03/2005;3;38;44;46;73;2;301531,64
1427;26/03/2005;26;38;40;48;79;1;216898,97
1428;29/03/2005;4;70;73;76;80;0;
1429;31/03/2005;29;36;47;70;77;0;
1430;02/04/2005;14;26;43;51;76;1;1025360,98
1431;05/04/2005;4;8;35;48;69;0;
1432;07/04/2005;15;23;25;30;37;2;320951,15
1433;09/04/2005;4;31;58;65;66;0;
1434;12/04/2005;4;13;16;35;67;0;
1435;14/04/2005;4;15;17;56;59;1;1097002,53
1436;16/04/2005;3;53;54;60;62;0;
1437;19/04/2005;3;12;26;54;62;4;169000,12
1438;23/04/2005;5;15;30;68;79;0;
1439;26/04/2005;13;15;31;39;63;2;358315,73
1440;28/04/2005;10;16;18;52;59;2;143711,79
1441;30/04/2005;3;11;49;53;61;1;314926,39
1442;03/05/2005;11;42;45;73;77;1;285595,11
1443;05/05/2005;9;19;21;38;58;0;
1444;07/05/2005;29;51;62;69;75;0;
1445;10/05/2005;13;18;41;54;77;1;1094090,31
1446;12/05/2005;2;10;27;52;73;0;
1447;14/05/2005;4;11;14;15;33;2;340903,63
1448;17/05/2005;20;29;41;69;77;0;
1449;19/05/2005;3;13;21;24;67;0;
1450;21/05/2005;11;14;55;58;74;1;1050750,97
1451;24/05/2005;2;13;53;66;79;0;
1452;28/05/2005;1;4;15;23;37;2;357519,57
1453;31/05/2005;1;23;38;59;70;0;
1454;02/06/2005;6;30;51;53;69;1;666768,39
1455;04/06/2005;28;46;59;67;68;0;
1456;07/06/2005;8;10;17;68;76;1;719272,71
1457;09/06/2005;14;21;22;59;73;0;
1458;11/06/2005;13;23;39;40;48;1;727861,29
1459;14/06/2005;14;40;52;63;71;0;
1460;16/06/2005;2;13;32;48;51;6;111150,15
1461;18/06/2005;6;27;49;61;75;2;166044,44
1462;21/06/2005;2;45;46;48;55;0;
1463;23/06/2005;18;30;46;47;76;1;632437,81
1464;25/06/2005;10;39;40;55;71;0;
1465;28/06/2005;12;14;46;58;71;1;648099,68
1466;30/06/2005;13;15;19;41;72;0;
1467;02/07/2005;10;15;16;62;69;0;
1468;05/07/2005;17;25;43;47;65;8;137853,95
1469;07/07/2005;30;33;46;52;58;2;163114,96
1470;09/07/2005;4;40;44;67;70;0;
1471;12/07/2005;24;25;45;57;63;0;
1472;14/07/2005;25;35;51;53;57;1;1162154,84
1473;16/07/2005;15;17;24;54;74;1;337906,37
1474;19/07/2005;3;6;25;40;54;0;
1475;21/07/2005;7;13;21;47;63;6;112287,11
1476;23/07/2005;1;6;37;60;75;1;328156,85
1477;26/07/2005;54;58;70;76;80;0;
1478;28/07/2005;10;22;30;55;75;1;650975,22
1479;30/07/2005;9;13;14;19;32;1;330656,84
1480;02/08/2005;1;20;37;73;79;0;
1481;04/08/2005;1;8;29;55;74;1;674714,46
1482;06/08/2005;8;13;27;44;79;2;172275,51
1483;09/08/2005;16;19;24;54;74;0;
1484;11/08/2005;21;39;40;47;59;0;
1485;13/08/2005;35;36;47;49;69;0;
1486;16/08/2005;41;51;53;56;64;0;
1487;18/08/2005;10;14;22;73;80;2;1076951,55
1488;20/08/2005;11;13;28;30;54;0;
1489;23/08/2005;5;16;27;35;40;0;
1490;25/08/2005;8;18;31;60;70;2;571918,22
1491;27/08/2005;12;23;65;68;74;2;164290,46
1492;30/08/2005;6;39;42;59;74;0;
1493;01/09/2005;11;14;28;45;49;2;334723,77
1494;03/09/2005;4;12;27;36;44;4;85179,58
1495;06/09/2005;1;8;21;31;58;1;303343,91
1496;08/09/2005;8;18;41;42;75;3;89689,74
1497;10/09/2005;10;15;22;28;31;3;113591,08
1498;13/09/2005;6;8;41;48;76;2;148354,46
1499;15/09/2005;1;9;26;35;78;2;159337,95
1500;19/09/2005;30;43;52;65;74;0;
1501;20/09/2005;16;48;52;72;73;1;629173,28
1502;22/09/2005;31;45;46;65;74;0;
1503;24/09/2005;11;25;32;39;47;6;114139,48
1504;27/09/2005;1;6;38;45;79;0;
1505;29/09/2005;2;10;70;71;77;3;209997,76
1506;01/10/2005;42;46;64;67;71;0;
1507;04/10/2005;18;24;32;51;59;1;681347,97
1508;06/10/2005;3;11;19;63;67;3;105756,38
1509;08/10/2005;7;47;49;60;78;1;331728,78
1510;11/10/2005;15;37;54;69;71;1;293903,31
1511;13/10/2005;21;26;49;75;79;1;250235,12
1512;15/10/2005;3;7;36;38;57;1;314470,66
1513;18/10/2005;1;11;29;62;71;0;
1514;20/10/2005;5;21;25;32;41;1;635198,22
1515;22/10/2005;9;45;49;63;75;2;158328,11
1516;25/10/2005;14;26;38;59;69;0;
1517;27/10/2005;48;51;62;72;79;0;
1518;29/10/2005;4;15;17;25;64;0;
1519;01/11/2005;3;17;39;57;64;6;246496,36
1520;03/11/2005;35;46;67;77;79;0;
1521;05/11/2005;22;37;43;53;63;0;
1522;08/11/2005;8;11;23;59;64;3;353754,71
1523;10/11/2005;14;17;28;32;71;7;46097,47
1524;12/11/2005;21;22;48;50;80;1;334060,63
1525;17/11/2005;7;31;32;67;70;0;
1526;19/11/2005;4;32;46;48;65;0;
1527;22/11/2005;6;35;52;64;73;1;1143248,52
1528;24/11/2005;10;36;52;63;68;1;297888,88
1529;26/11/2005;23;41;47;48;55;1;317005,97
1530;29/11/2005;20;39;47;71;79;0;
1531;01/12/2005;34;41;44;60;72;0;
1532;03/12/2005;36;39;43;59;65;2;535315,25
1533;06/12/2005;24;34;37;44;45;0;
1534;08/12/2005;33;35;50;54;60;0;
1535;10/12/2005;22;27;69;76;80;2;565639,34
1536;13/12/2005;53;58;61;74;78;2;157733,28
1537;15/12/2005;1;24;34;36;74;0;
1538;17/12/2005;2;26;31;41;57;1;730106,14
1539;20/12/2005;16;23;36;51;72;0;
1540;22/12/2005;3;30;45;57;66;1;713021,67
1541;24/12/2005;1;15;33;53;68;0;
1542;27/12/2005;26;29;69;72;79;1;628889,41
1543;29/12/2005;4;22;57;60;62;0;
1544;31/12/2005;1;8;37;51;73;0;
1545;03/01/2006;8;16;24;39;73;0;
1546;05/01/2006;9;38;44;73;79;1;1548444,46
1547;07/01/2006;34;36;43;51;54;1;348958,29
1548;10/01/2006;10;22;39;69;74;4;77104,26
1549;12/01/2006;19;51;60;64;71;1;326703,31
1550;14/01/2006;15;38;45;47;53;0;
1551;17/01/2006;10;34;39;62;76;1;702558,97
1552;19/01/2006;6;22;43;50;61;0;
1553;21/01/2006;16;35;52;76;77;2;344025,50
1554;24/01/2006;10;17;34;37;64;1;286630,03
1555;26/01/2006;31;59;64;65;67;0;
1556;28/01/2006;18;25;50;51;55;1;664581,80
1557;31/01/2006;12;47;51;55;73;0;
1558;02/02/2006;13;17;54;64;79;3;220008,70
1559;04/02/2006;7;39;48;66;79;0;
1560;07/02/2006;21;23;42;52;56;3;235279,10
1561;09/02/2006;1;10;36;64;71;2;164675,61
1562;11/02/2006;16;50;53;60;72;1;355163,01
1563;14/02/2006;4;24;36;43;50;1;314003,28
1564;16/02/2006;24;28;50;58;68;0;
1565;18/02/2006;9;20;55;70;79;1;738126,20
1566;21/02/2006;16;19;27;62;69;1;302848,25
1567;23/02/2006;13;46;52;56;78;2;160818,87
1568;25/02/2006;5;25;27;29;63;2;154499,15
1569;02/03/2006;21;46;50;60;67;0;
1570;04/03/2006;32;44;53;67;72;2;355898,72
1571;07/03/2006;40;47;51;58;72;0;
1572;09/03/2006;13;43;45;74;76;1;687174,05
1573;11/03/2006;8;37;47;58;64;1;343412,43
1574;14/03/2006;16;17;55;78;79;1;298063,36
1575;16/03/2006;41;42;49;68;73;0;
1576;18/03/2006;1;26;42;59;75;3;241971,41
1577;21/03/2006;10;13;25;56;67;0;
1578;23/03/2006;1;6;9;17;27;10;66391,86
1579;25/03/2006;3;61;69;76;77;0;
1580;28/03/2006;9;16;39;47;75;2;335235,49
1581;30/03/2006;12;14;30;42;70;0;
1582;01/04/2006;34;37;52;60;66;2;340829,42
1583;04/04/2006;1;29;51;54;57;1;292714,63
1584;06/04/2006;12;40;64;65;69;0;
1585;08/04/2006;1;5;15;28;37;3;243254,25
1586;11/04/2006;4;13;17;28;72;0;
1587;13/04/2006;4;6;23;30;54;0;
1588;15/04/2006;23;36;56;57;70;0;
1589;18/04/2006;7;14;17;47;56;2;717990,75
1590;20/04/2006;12;18;28;45;73;0;
1591;22/04/2006;10;32;33;51;53;0;
1592;25/04/2006;4;37;45;55;65;1;1030291,05
1593;27/04/2006;40;43;50;56;63;2;154389,42
1594;29/04/2006;6;34;57;61;79;0;
1595;02/05/2006;31;41;45;52;64;0;
1596;04/05/2006;3;26;44;49;54;1;1021833,36
1597;06/05/2006;7;29;45;53;78;1;337471,72
1598;09/05/2006;8;32;44;46;67;1;301989,01
1599;11/05/2006;13;36;41;71;80;3;108344,42
1600;13/05/2006;21;33;36;56;61;0;
1601;16/05/2006;20;42;49;79;80;1;682086,70
1602;18/05/2006;4;30;49;64;73;1;283262,06
1603;21/05/2006;5;45;51;56;77;2;154398,04
1604;23/05/2006;21;24;36;40;71;2;131632,12
1605;25/05/2006;11;12;33;36;78;0;
1606;27/05/2006;25;57;64;76;77;0;
1607;30/05/2006;3;32;40;50;68;0;
1608;01/06/2006;13;28;29;47;77;2;752831,71
1609;03/06/2006;30;35;40;43;79;0;
1610;06/06/2006;18;46;48;61;69;2;366681,50
1611;08/06/2006;4;8;16;40;50;3;111310,05
1612;10/06/2006;4;37;38;59;63;1;324441,67
1613;13/06/2006;1;9;36;44;50;1;243948,73
1614;17/06/2006;9;10;22;49;52;3;121345,65
1615;20/06/2006;6;33;38;49;58;1;287467,30
1616;22/06/2006;6;12;35;41;58;1;249007,93
1617;24/06/2006;11;21;52;63;70;0;
1618;27/06/2006;11;43;48;57;67;1;575955,14
1619;29/06/2006;6;26;65;70;74;0;
1620;01/07/2006;32;34;41;45;57;0;
1621;04/07/2006;4;5;15;66;79;2;494527,06
1622;06/07/2006;16;39;44;68;73;3;99275,88
1623;08/07/2006;6;9;23;44;78;3;103773,31
1624;11/07/2006;9;26;32;61;63;1;281939,56
1625;13/07/2006;40;48;62;71;75;0;
1626;15/07/2006;8;36;46;49;60;0;
1627;18/07/2006;6;7;50;51;70;1;1077361,31
1628;20/07/2006;11;28;49;56;79;2;155665,23
1629;22/07/2006;10;13;33;34;74;1;312558,35
1630;25/07/2006;9;19;32;34;35;1;287319,40
1631;27/07/2006;24;28;35;46;61;0;
1632;29/07/2006;21;25;38;42;60;1;651472,36
1633;01/08/2006;18;20;46;57;77;0;
1634;03/08/2006;39;41;42;57;73;0;
1635;05/08/2006;6;18;22;50;52;1;1016925,67
1636;08/08/2006;27;29;37;50;57;3;98307,69
1637;10/08/2006;17;41;46;57;71;2;160511,87
1638;12/08/2006;21;48;62;71;79;0;
1639;15/08/2006;7;14;25;38;68;3;221739,03
1640;17/08/2006;10;20;50;64;67;0;
1641;19/08/2006;18;19;23;34;67;2;344533,04
1642;22/08/2006;15;17;57;73;74;3;95339,63
1643;24/08/2006;9;14;36;58;70;4;76370,13
1644;26/08/2006;33;55;59;66;76;0;
1645;29/08/2006;1;8;26;65;69;0;
1646;31/08/2006;30;40;42;52;76;1;1046471,44
1647;02/09/2006;2;48;55;71;74;0;
1648;05/09/2006;35;36;43;64;72;0;
1649;09/09/2006;1;16;18;21;36;0;
1650;12/09/2006;1;10;44;68;77;1;1607937,34
1651;14/09/2006;5;26;45;57;61;1;304537,73
1652;16/09/2006;6;8;30;47;71;0;
1653;19/09/2006;5;9;46;50;54;1;655786,77
1654;21/09/2006;15;50;51;58;65;1;305112,66
1655;23/09/2006;8;28;33;54;56;0;
1656;26/09/2006;16;25;27;76;80;0;
1657;28/09/2006;10;11;13;31;38;1;1085356,19
1658;30/09/2006;37;46;55;56;74;1;318141,92
1659;03/10/2006;35;40;47;49;53;0;
1660;05/10/2006;48;63;66;70;73;0;
1661;07/10/2006;6;9;47;49;77;5;216372,99
1662;10/10/2006;6;45;57;59;70;1;278257,86
1663;14/10/2006;5;12;28;68;71;1;374991,57
1664;17/10/2006;20;26;46;58;80;1;288501,81
1665;19/10/2006;1;60;61;62;71;0;
1666;21/10/2006;29;47;51;52;73;1;585156,27
1667;24/10/2006;2;10;34;43;66;3;89372,39
1668;26/10/2006;12;31;59;71;77;0;
1669;28/10/2006;16;46;49;53;63;0;
1670;31/10/2006;21;24;60;76;77;0;
1671;04/11/2006;5;11;15;34;35;5;308882,71
1672;07/11/2006;15;53;55;63;79;0;
1673;09/11/2006;30;33;45;58;77;2;327245,55
1674;11/11/2006;3;4;18;33;80;0;
1675;14/11/2006;22;23;32;50;70;0;
1676;16/11/2006;37;44;49;53;60;1;1003640,67
1677;18/11/2006;41;44;52;59;77;2;160368,45
1678;21/11/2006;6;12;30;62;72;0;
1679;23/11/2006;3;14;16;22;52;3;194948,21
1680;25/11/2006;21;38;60;67;79;0;
1681;28/11/2006;1;27;32;56;71;0;
1682;30/11/2006;1;4;36;47;65;0;
1683;02/12/2006;18;22;28;47;54;1;1516438,15
1684;05/12/2006;1;6;44;52;80;0;
1685;07/12/2006;5;8;17;34;71;3;210950,18
1686;09/12/2006;10;23;26;37;53;1;331496,39
1687;12/12/2006;33;49;55;69;76;4;76099,27
1688;14/12/2006;4;5;6;14;27;3;98789,81
1689;16/12/2006;1;15;24;42;72;1;322558,99
1690;19/12/2006;8;9;46;64;65;1;289581,04
1691;21/12/2006;8;34;36;65;74;0;
1692;23/12/2006;7;31;38;39;52;4;164551,31
1693;26/12/2006;3;33;41;53;59;1;211756,84
1694;28/12/2006;23;24;33;52;62;0;
1695;30/12/2006;6;32;33;39;75;2;324561,65
1696;02/01/2007;27;28;29;34;79;1;200635,64
1697;04/01/2007;12;16;66;78;79;1;301116,20
1698;06/01/2007;33;39;49;53;71;2;162694,89
1699;09/01/2007;3;20;29;39;74;0;
1700;11/01/2007;11;20;26;47;65;0;
1701;13/01/2007;15;30;49;64;72;1;1141657,29
1702;16/01/2007;14;22;52;78;80;0;
1703;18/01/2007;9;35;36;40;63;0;
1704;20/01/2007;8;24;29;54;70;1;1140978,61
1705;23/01/2007;21;34;49;50;54;0;
1706;25/01/2007;7;11;19;29;39;2;323978,87
1707;27/01/2007;13;26;28;37;67;0;
1708;30/01/2007;12;33;64;68;70;0;
1709;01/02/2007;6;58;61;63;79;1;1143751,17
1710;03/02/2007;15;19;51;63;72;1;340426,38
1711;06/02/2007;9;11;32;62;79;1;311566,37
1712;08/02/2007;12;27;31;34;55;1;305412,49
1713;10/02/2007;4;30;55;62;71;1;339375,48
1714;13/02/2007;1;11;17;18;37;2;153061,82
1715;15/02/2007;33;46;49;54;56;1;300133,37
1716;17/02/2007;8;29;59;65;80;1;307998,73
1717;22/02/2007;12;16;17;25;50;0;
1718;24/02/2007;27;43;44;56;59;2;322704,23
1719;27/02/2007;29;50;58;77;78;0;
1720;01/03/2007;2;6;15;34;36;3;211941,55
1721;03/03/2007;8;19;38;42;79;2;165851,61
1722;06/03/2007;45;46;47;54;65;1;296688,63
1723;08/03/2007;3;9;27;50;53;4;75645,55
1724;10/03/2007;31;34;37;39;45;3;112122,76
1725;13/03/2007;26;39;41;42;74;1;308157,97
1726;15/03/2007;19;22;26;57;64;5;59591,32
1727;17/03/2007;12;15;42;58;78;0;
1728;20/03/2007;26;29;42;47;68;0;
1729;22/03/2007;28;38;52;59;71;1;1111085,90
1730;24/03/2007;8;12;29;62;65;1;303779,94
1731;27/03/2007;14;31;38;49;73;2;144627,34
1732;29/03/2007;16;42;49;51;75;0;
1733;31/03/2007;9;22;62;63;72;0;
1734;03/04/2007;12;40;60;69;77;1;1058543,54
1735;05/04/2007;1;8;32;65;67;1;280319,32
1736;07/04/2007;12;42;46;49;80;0;
1737;10/04/2007;9;24;27;30;68;1;590609,87
