Concurso;Data;Coluna 1;Coluna 2;Coluna 3;Coluna 4;Coluna 5;Ganhadores;Prêmio
125;16/07/1995;10;13;22;50;66;0;
126;20/07/1995;4;12;63;78;80;4;172200,10
127;23/07/1995;14;18;59;60;64;2;171110,18
128;27/07/1995;17;24;47;49;66;4;68633,06
129;30/07/1995;5;9;12;23;71;4;81435,82
130;02/08/1995;18;34;38;40;43;2;134672,44
131;06/08/1995;13;32;56;73;74;0;
132;10/08/1995;19;25;63;74;77;4;177891,48
133;13/08/1995;13;18;43;47;53;3;120036,61
134;17/08/1995;10;28;60;62;74;1;272433,43
135;20/08/1995;2;53;57;62;64;2;181640,26
136;24/08/1995;9;19;24;59;61;5;55490,67
137;28/08/1995;13;14;37;66;75;1;369492,62
138;31/08/1995;13;23;37;56;80;0;
139;03/09/1995;14;52;54;65;77;1;692848,59
140;10/09/1995;32;43;50;57;75;0;
141;14/09/1995;6;51;53;54;57;2;430785,68
142;17/09/1995;15;21;56;79;80;2;200964,52
143;21/09/1995;14;27;39;48;61;0;
144;24/09/1995;16;24;42;71;75;3;248567,44
145;28/09/1995;2;8;40;55;60;3;96434,37
146;01/10/1995;12;18;21;31;69;1;368296,44
147;05/10/1995;1;18;52;67;72;2;142877,20
148;08/10/1995;32;33;43;46;52;2;193827,48
149;15/10/1995;8;16;18;22;73;2;215616,99
150;19/10/1995;12;24;26;39;40;3;90443,80
151;22/10/1995;22;23;42;54;65;2;179767,42
152;26/10/1995;5;14;31;38;75;1;269533,15
153;29/10/1995;2;10;11;15;66;12;28749,87
154;05/11/1995;5;9;41;64;67;1;412078,15
155;09/11/1995;12;30;48;70;75;0;
156;12/11/1995;7;12;29;54;55;5;134249,62
157;19/11/1995;42;50;52;66;72;0;
158;23/11/1995;2;27;35;44;55;3;269364,65
159;26/11/1995;4;11;24;25;32;9;40692,45
160;30/11/1995;8;25;42;60;63;4;67474,59
161;03/12/1995;13;29;41;61;74;0;
162;07/12/1995;20;25;57;67;78;4;183228,81
163;10/12/1995;9;14;16;52;71;4;90867,67
164;14/12/1995;7;9;19;45;80;8;37106,35
165;17/12/1995;12;21;27;45;75;3;124518,71
166;21/12/1995;2;31;41;43;44;3;96414,55
167;26/12/1995;20;33;62;63;69;1;342331,02
168;02/01/1996;15;26;30;44;69;3;138454,57
169;07/01/1996;3;15;30;56;72;1;423810,25
170;11/01/1996;18;22;27;74;75;3;95126,48
171;14/01/1996;12;18;37;47;56;4;90848,87
172;18/01/1996;37;38;57;67;79;1;276340,54
173;21/01/1996;22;29;34;42;51;2;176972,15
174;25/01/1996;11;16;23;44;48;5;53550,20
175;28/01/1996;29;60;64;72;79;2;165557,11
176;01/02/1996;1;27;29;36;73;2;127970,18
177;04/02/1996;9;33;48;67;73;9;38560,64
178;08/02/1996;5;14;15;66;68;3;92874,84
179;11/02/1996;30;60;65;68;75;3;122379,90
180;15/02/1996;1;20;23;25;49;1;285225,15
181;18/02/1996;6;21;31;37;64;3;103962,02
182;25/02/1996;9;44;46;57;59;1;371297,04
183;29/02/1996;20;33;48;69;70;1;254265,55
184;03/03/1996;22;29;38;58;62;2;173727,25
185;07/03/1996;9;24;28;31;45;3;87102,73
186;10/03/1996;6;20;21;46;63;0;
187;14/03/1996;2;43;45;64;68;3;243816,71
188;17/03/1996;28;43;56;57;77;3;134450,50
189;21/03/1996;1;5;52;53;71;0;
190;24/03/1996;21;29;46;59;76;0;
191;28/03/1996;4;7;19;35;56;10;110710,67
192;31/03/1996;16;37;54;68;77;3;129246,72
193;07/04/1996;12;13;51;67;73;3;126988,56
194;11/04/1996;14;19;32;37;45;10;29335,51
195;14/04/1996;8;23;50;65;73;5;75508,46
196;18/04/1996;10;27;30;72;78;4;70719,35
197;21/04/1996;3;27;30;33;59;3;121065,42
198;25/04/1996;6;14;18;71;73;2;137817,31
199;28/04/1996;3;31;47;77;79;0;
200;05/05/1996;19;21;64;70;72;2;447189,47
201;09/05/1996;7;71;73;76;79;4;68204,71
202;12/05/1996;6;37;43;61;62;4;95586,26
203;16/05/1996;3;13;17;47;60;3;89328,30
204;19/05/1996;7;11;21;51;58;3;123485,56
205;23/05/1996;4;9;31;40;58;1;280926,56
206;26/05/1996;1;10;36;62;64;2;195448,84
207;30/05/1996;5;7;12;16;66;9;31354,18
208;02/06/1996;3;24;48;52;71;3;126832,05
209;09/06/1996;26;37;61;67;71;1;463919,10
210;13/06/1996;10;14;32;53;61;4;69943,19
211;16/06/1996;3;11;19;31;39;24;15854,49
212;20/06/1996;38;46;50;65;69;1;276240,84
213;23/06/1996;5;13;14;34;63;2;180643,39
214;27/06/1996;10;19;24;34;72;6;44194,25
215;30/06/1996;37;46;49;62;73;1;367707,42
216;04/07/1996;31;32;34;54;59;0;
217;07/07/1996;8;41;56;65;74;3;236148,44
218;11/07/1996;17;26;31;33;63;1;294327,81
219;14/07/1996;3;19;32;59;63;10;38900,36
220;18/07/1996;19;35;38;39;78;3;91125,86
221;21/07/1996;45;69;72;77;79;2;189485,86
222;25/07/1996;3;24;27;58;69;3;90014,12
223;28/07/1996;10;21;43;64;68;3;119548,83
224;01/08/1996;18;41;58;62;73;1;261243,97
225;04/08/1996;16;34;37;42;70;1;369962,58
226;08/08/1996;17;24;50;56;66;1;282705,57
227;11/08/1996;19;23;32;38;61;3;130722,30
228;15/08/1996;12;23;50;52;55;2;141032,42
229;18/08/1996;7;60;62;67;74;5;78724,91
230;22/08/1996;14;27;41;68;78;3;93854,98
231;25/08/1996;3;28;41;58;75;1;393690,24
232;29/08/1996;27;34;35;42;62;0;
233;01/09/1996;49;55;56;68;71;4;170336,32
234;05/09/1996;27;29;34;64;73;1;289194,31
235;08/09/1996;17;27;35;54;76;1;389035,71
236;12/09/1996;14;26;51;55;64;1;295432,23
