Conc.;Data;1a;2a;3a;4a;5a;Gan.;Prêmio
4280;09/01/2017;14;17;18;30;40;0;
4279;07/01/2017;20;25;55;64;71;0;
4278;06/01/2017;6;16;41;74;79;0;
4277;05/01/2017;17;36;57;66;71;1;2.901.173,84
4276;04/01/2017;12;13;22;24;63;0;
4275;03/01/2017;27;35;72;73;76;0;
4274;02/01/2017;31;39;70;71;76;0;
4273;31/12/2016;9;21;30;46;57;1;481.976,09
4272;30/12/2016;2;36;41;45;68;2;3.903.204,22
4271;29/12/2016;16;26;35;53;77;0;
4270;28/12/2016;12;18;32;52;57;0;
4269;27/12/2016;17;23;30;35;60;0;
4268;26/12/2016;54;59;63;76;80;0;
4267;24/12/2016;15;20;31;33;39;0;
4266;23/12/2016;10;15;35;38;50;0;
4265;22/12/2016;17;28;40;58;67;0;
4264;21/12/2016;2;12;20;56;80;0;
4263;20/12/2016;8;45;49;52;56;1;1.351.600,69
4262;19/12/2016;8;9;43;46;70;0;
4261;17/12/2016;19;32;41;43;44;2;1.548.263,97
4260;16/12/2016;46;51;64;66;71;0;
4259;15/12/2016;27;50;55;69;71;0;
4258;14/12/2016;3;5;27;43;49;0;
4257;13/12/2016;15;22;45;48;64;1;8.897.939,91
4256;12/12/2016;28;38;41;49;57;0;
4255;10/12/2016;19;22;36;41;71;0;
4254;09/12/2016;12;24;56;58;74;0;
4253;08/12/2016;9;10;16;22;55;0;
4252;07/12/2016;24;29;31;39;42;0;
4251;06/12/2016;5;13;30;43;79;0;
4250;05/12/2016;4;7;47;51;53;0;
4249;03/12/2016;19;29;44;50;72;0;
4248;02/12/2016;5;6;16;53;61;1;12.287.432,91
4247;01/12/2016;18;26;58;64;66;0;
4246;30/11/2016;25;44;59;63;73;0;
4245;29/11/2016;7;20;48;55;60;0;
4244;28/11/2016;14;18;26;36;57;0;
4243;26/11/2016;14;19;32;37;70;0;
4242;25/11/2016;13;15;24;36;44;0;
4241;24/11/2016;54;55;62;71;78;0;
4240;23/11/2016;6;7;21;28;30;0;
4239;22/11/2016;28;39;40;42;64;0;
4238;21/11/2016;4;8;10;44;70;0;
4237;19/11/2016;15;24;28;65;72;0;
4236;18/11/2016;16;25;28;30;68;1;2.133.821,40
4235;17/11/2016;13;23;37;40;63;0;
4234;16/11/2016;20;37;46;55;60;0;
4233;14/11/2016;10;18;26;72;79;1;3.929.342,84
4232;12/11/2016;8;40;49;53;75;0;
4231;11/11/2016;25;40;69;71;78;0;
4230;10/11/2016;7;10;20;24;75;0;
4229;09/11/2016;25;28;29;33;67;0;
4228;08/11/2016;9;12;16;26;37;1;2.194.137,24
4227;07/11/2016;11;13;69;73;77;0;
4226;05/11/2016;13;16;48;57;65;0;
4225;04/11/2016;23;33;35;36;39;1;676.860,06
4224;03/11/2016;8;11;46;68;79;1;5.737.033,73
4223;01/11/2016;4;5;31;42;70;0;
4222;31/10/2016;7;24;39;58;76;0;
4221;29/10/2016;1;8;18;36;53;0;
4220;28/10/2016;4;5;16;23;54;0;
4219;27/10/2016;11;13;26;31;73;0;
4218;26/10/2016;17;30;33;78;79;0;
4217;25/10/2016;10;36;43;60;63;1;2.734.898,99
4216;24/10/2016;5;11;21;24;43;0;
4215;22/10/2016;23;36;37;53;56;0;
4214;21/10/2016;25;31;42;44;49;0;
4213;20/10/2016;9;10;24;48;53;1;3.696.635,18
4212;19/10/2016;5;8;28;61;74;0;
4211;18/10/2016;8;19;23;43;63;0;
4210;17/10/2016;30;32;38;51;73;0;
4209;15/10/2016;27;49;55;62;74;0;
4208;14/10/2016;20;21;65;68;76;1;1.431.336,71
4207;13/10/2016;4;18;27;46;80;0;
4206;11/10/2016;5;8;9;35;54;1;3.216.655,71
4205;10/10/2016;4;20;32;75;77;0;
4204;08/10/2016;1;6;42;71;73;0;
4203;07/10/2016;18;24;46;49;57;0;
4202;06/10/2016;9;18;26;51;77;1;6.132.498,55
4201;05/10/2016;10;30;51;55;77;0;
4200;04/10/2016;9;39;40;45;80;0;
4199;03/10/2016;38;42;45;52;57;0;
4198;01/10/2016;5;26;48;61;69;0;
4197;30/09/2016;3;16;23;42;55;0;
4196;29/09/2016;19;22;31;40;45;0;
4195;28/09/2016;8;14;20;45;52;1;5.715.188,86
4194;27/09/2016;5;22;34;37;58;0;
4193;26/09/2016;9;31;63;69;70;0;
4192;24/09/2016;1;14;32;53;61;0;
4191;23/09/2016;16;18;21;50;78;0;
4190;22/09/2016;1;20;38;55;70;0;
4189;21/09/2016;44;49;59;70;78;0;
4188;20/09/2016;4;10;15;34;76;1;3.705.014,53
4187;19/09/2016;28;43;51;54;78;0;
4186;17/09/2016;7;9;21;33;53;0;
4185;16/09/2016;26;32;35;44;48;0;
4184;15/09/2016;8;15;37;74;77;0;
4183;14/09/2016;4;21;22;45;58;1;7.884.227,35
4182;13/09/2016;3;7;38;41;46;0;
4181;12/09/2016;14;33;55;60;75;0;
4180;10/09/2016;5;7;19;27;46;0;
4179;09/09/2016;5;11;26;37;58;0;
4178;08/09/2016;6;30;35;45;56;0;
4177;06/09/2016;46;66;70;72;77;0;
4176;05/09/2016;20;53;60;70;74;0;
4175;03/09/2016;3;6;15;18;52;0;
4174;02/09/2016;8;16;26;28;60;1;2.281.615,66
4173;01/09/2016;18;24;46;66;74;0;
4172;31/08/2016;5;20;34;43;60;0;
4171;30/08/2016;4;36;76;77;80;2;2.750.521,44
4170;29/08/2016;37;39;43;51;75;0;
4169;27/08/2016;21;31;34;41;60;0;
4168;26/08/2016;4;15;31;67;73;0;
4167;25/08/2016;4;36;47;66;76;0;
4166;24/08/2016;30;31;42;45;58;0;
4165;23/08/2016;3;40;41;65;66;0;
4164;22/08/2016;8;11;15;53;55;1;8.000.850,48
4163;20/08/2016;5;30;38;55;72;0;
4162;19/08/2016;18;31;51;55;69;0;
4161;18/08/2016;22;48;64;71;78;0;
4160;17/08/2016;36;42;48;62;70;0;
4159;16/08/2016;6;11;72;75;78;0;
4158;15/08/2016;10;25;41;65;78;0;
4157;13/08/2016;7;32;40;52;74;0;
4156;12/08/2016;18;20;24;28;37;0;
4155;11/08/2016;19;24;45;73;76;1;2.268.452,47
4154;10/08/2016;1;4;48;57;78;0;
4153;09/08/2016;19;43;44;50;63;0;
4152;08/08/2016;8;32;44;48;74;1;659.802,25
4151;06/08/2016;36;43;51;58;79;1;11.100.168,13
4150;05/08/2016;9;36;39;61;68;0;
4149;04/08/2016;14;19;37;40;56;0;
4148;03/08/2016;32;46;63;72;77;0;
4147;02/08/2016;17;29;43;53;56;0;
4146;01/08/2016;13;16;29;56;80;0;
4145;30/07/2016;14;36;44;67;71;0;
4144;29/07/2016;23;41;44;72;77;0;
4143;28/07/2016;7;11;37;43;79;0;
4142;27/07/2016;3;23;38;69;78;0;
4141;26/07/2016;3;19;43;58;67;1;14.888.610,38
4140;25/07/2016;3;18;31;58;61;0;
4139;23/07/2016;6;11;33;48;61;0;
4138;22/07/2016;57;58;64;65;79;0;
4137;21/07/2016;9;22;24;41;78;0;
4136;20/07/2016;26;31;41;49;61;0;
4135;19/07/2016;5;38;41;55;66;0;
4134;18/07/2016;6;9;36;46;80;0;
4133;16/07/2016;7;9;38;62;66;0;
4132;15/07/2016;22;32;34;43;51;0;
4131;14/07/2016;14;34;63;73;76;0;
4130;13/07/2016;10;31;32;38;79;0;
4129;12/07/2016;3;19;46;52;64;0;
4128;11/07/2016;1;10;11;24;60;2;3.745.548,60
4127;09/07/2016;1;28;30;73;76;0;
4126;08/07/2016;21;53;57;69;71;0;
4125;07/07/2016;23;36;54;59;70;0;
4124;06/07/2016;15;22;28;34;72;0;
4123;05/07/2016;1;26;34;40;49;0;
4122;04/07/2016;31;35;38;48;74;0;
4121;02/07/2016;1;17;20;50;75;0;
4120;01/07/2016;12;17;22;52;63;1;4.679.583,81
4119;30/06/2016;21;44;66;74;77;0;
4118;29/06/2016;19;36;49;63;70;0;
4117;28/06/2016;17;18;19;24;44;0;
4116;27/06/2016;23;39;58;59;80;0;
4115;25/06/2016;9;37;66;75;78;0;
4114;24/06/2016;14;26;28;55;79;8;17.888.278,89
4113;18/06/2016;6;11;28;48;67;0;
4112;17/06/2016;6;10;41;53;79;0;
4111;16/06/2016;9;20;36;45;58;0;
4110;15/06/2016;6;20;23;55;66;0;
4109;14/06/2016;26;28;31;70;75;0;
4108;13/06/2016;6;16;58;67;77;0;
4107;11/06/2016;9;41;44;50;60;0;
4106;10/06/2016;5;12;52;59;65;0;
4105;09/06/2016;28;51;66;67;76;0;
4104;08/06/2016;15;25;41;61;67;0;
4103;07/06/2016;1;7;37;64;72;0;
4102;06/06/2016;30;38;46;52;60;1;4.856.192,84
4101;04/06/2016;6;18;59;62;79;0;
4100;03/06/2016;2;19;54;60;76;0;
4099;02/06/2016;7;15;24;27;52;0;
4098;01/06/2016;37;42;52;64;78;0;
4097;31/05/2016;3;11;31;40;61;0;
4096;30/05/2016;17;35;58;74;79;3;2.946.970,95
4095;28/05/2016;14;26;69;71;77;0;
4094;27/05/2016;2;36;52;65;73;0;
4093;25/05/2016;8;9;20;27;73;0;
4092;24/05/2016;1;19;23;59;79;0;
4091;23/05/2016;2;9;24;60;67;0;
4090;21/05/2016;23;40;41;43;74;0;
4089;20/05/2016;12;26;33;43;47;0;
4088;19/05/2016;31;58;59;67;71;0;
4087;18/05/2016;36;56;58;64;74;0;
4086;17/05/2016;6;28;31;33;71;0;
4085;16/05/2016;10;28;57;75;80;1;1.137.600,47
4084;14/05/2016;12;26;67;71;78;0;
4083;13/05/2016;2;53;59;70;80;1;10.761.752,35
4082;12/05/2016;8;21;35;59;67;0;
4081;11/05/2016;24;26;34;68;72;0;
4080;10/05/2016;8;34;35;48;76;0;
4079;09/05/2016;31;35;37;56;67;0;
4078;07/05/2016;1;52;57;69;79;0;
4077;06/05/2016;3;14;15;37;43;0;
4076;05/05/2016;17;18;56;61;62;0;
4075;04/05/2016;15;24;57;61;74;0;
4074;03/05/2016;10;24;26;64;75;0;
4073;02/05/2016;8;35;51;62;67;0;
4072;30/04/2016;2;34;43;75;78;1;1.921.148,76
4071;29/04/2016;15;27;40;51;64;0;
4070;28/04/2016;2;15;37;46;52;0;
4069;27/04/2016;22;24;29;32;80;1;12.611.508,51
4068;26/04/2016;30;49;70;71;79;0;
4067;25/04/2016;2;7;18;60;71;0;
4066;23/04/2016;39;47;52;53;55;0;
4065;22/04/2016;13;18;28;62;73;0;
4064;20/04/2016;12;17;27;38;78;0;
4063;19/04/2016;4;12;17;70;75;0;
4062;18/04/2016;7;19;42;61;76;0;
4061;16/04/2016;12;13;33;61;80;0;
4060;15/04/2016;2;17;29;34;68;0;
4059;14/04/2016;17;27;30;41;44;0;
4058;13/04/2016;12;19;66;68;75;0;
4057;12/04/2016;2;15;29;69;80;0;
4056;11/04/2016;6;12;17;52;78;3;634.197,60
4055;09/04/2016;11;18;66;69;78;0;
4054;08/04/2016;22;51;52;70;71;0;
4053;07/04/2016;26;27;30;34;63;1;569.751,47
4052;06/04/2016;1;15;17;31;67;1;578.422,47
4051;05/04/2016;17;18;23;42;76;1;6.137.245,24
4050;04/04/2016;42;56;60;62;68;0;
4049;02/04/2016;5;26;37;38;76;0;
4048;01/04/2016;15;22;32;49;58;0;
4047;31/03/2016;7;10;38;46;55;0;
4046;30/03/2016;6;17;20;53;78;0;
4045;29/03/2016;9;11;16;58;63;0;
4044;28/03/2016;38;41;50;51;72;0;
4043;26/03/2016;12;25;32;39;76;1;1.731.361,12
4042;24/03/2016;10;20;42;62;72;0;
4041;23/03/2016;3;24;66;69;70;0;
4040;22/03/2016;25;28;37;61;80;1;5.143.962,29
4039;21/03/2016;37;40;43;70;79;0;
4038;19/03/2016;5;9;15;40;42;0;
4037;18/03/2016;1;13;14;21;38;0;
4036;17/03/2016;6;8;19;35;50;0;
4035;16/03/2016;4;7;10;50;61;0;
4034;15/03/2016;5;29;43;48;54;0;
4033;14/03/2016;16;22;38;50;62;1;2.665.188,09
4032;12/03/2016;19;45;53;61;64;0;
4031;11/03/2016;5;9;33;63;73;0;
4030;10/03/2016;19;30;36;43;64;0;
4029;09/03/2016;2;18;29;32;55;1;583.812,74
4028;08/03/2016;6;12;48;54;77;1;1.943.116,88
4027;07/03/2016;13;25;69;73;75;0;
4026;05/03/2016;10;35;54;67;75;0;
4025;04/03/2016;24;28;52;53;79;1;2.005.352,38
4024;03/03/2016;12;22;27;31;52;0;
4023;02/03/2016;7;37;47;62;80;0;
4022;01/03/2016;10;29;38;56;63;1;9.140.429,46
4021;29/02/2016;29;45;55;75;80;0;
4020;27/02/2016;4;6;13;43;64;0;
4019;26/02/2016;5;11;12;55;62;0;
4018;25/02/2016;4;12;32;44;60;0;
4017;24/02/2016;3;16;46;52;59;0;
4016;23/02/2016;34;65;68;69;80;0;
4015;22/02/2016;3;22;41;46;65;0;
4014;20/02/2016;24;41;52;57;77;0;
4013;19/02/2016;9;24;42;58;59;0;
4012;18/02/2016;43;47;48;54;66;0;
4011;17/02/2016;6;24;52;53;69;1;2.623.956,64
4010;16/02/2016;9;36;37;39;43;0;
4009;15/02/2016;9;13;21;29;69;0;
4008;13/02/2016;19;28;46;50;58;0;
4007;12/02/2016;5;27;31;35;53;1;3.376.147,19
4006;11/02/2016;15;18;44;55;74;0;
4005;10/02/2016;10;14;33;50;62;0;
4004;06/02/2016;24;27;37;45;69;0;
4003;05/02/2016;1;25;27;32;51;0;
4002;04/02/2016;3;6;7;43;55;1;1.250.239,62
4001;03/02/2016;7;22;49;52;76;0;
4000;02/02/2016;17;21;27;46;63;1;3.497.808,05
3999;01/02/2016;10;22;25;70;79;0;
3998;30/01/2016;2;25;26;29;38;0;
3997;29/01/2016;1;25;37;41;80;0;
3996;28/01/2016;3;23;28;40;63;0;
3995;27/01/2016;6;45;50;67;75;1;5.314.769,73
3994;26/01/2016;6;13;19;40;64;0;
3993;25/01/2016;11;16;46;48;74;0;
3992;23/01/2016;30;37;40;72;79;0;
3991;22/01/2016;22;24;45;49;64;0;
3990;21/01/2016;24;31;36;39;72;0;
3989;20/01/2016;14;31;37;38;78;0;
3988;19/01/2016;15;33;56;63;77;1;5.605.257,05
3987;18/01/2016;3;50;60;67;77;0;
3986;16/01/2016;4;6;26;36;55;0;
3985;15/01/2016;9;21;24;27;69;0;
3984;14/01/2016;2;5;16;35;65;0;
3983;13/01/2016;9;35;55;69;70;0;
3982;12/01/2016;25;38;57;59;68;0;
3981;11/01/2016;5;36;45;47;61;1;6.386.126,73
3980;09/01/2016;9;15;27;28;61;0;
3979;08/01/2016;14;33;39;58;74;0;
3978;07/01/2016;2;50;59;69;72;0;
3977;06/01/2016;22;30;44;64;80;0;
3976;05/01/2016;23;37;50;53;54;0;
3975;04/01/2016;6;21;63;65;73;0;
3974;02/01/2016;16;17;18;34;55;0;
3973;31/12/2015;47;50;63;71;72;1;12.193.832,59
3972;30/12/2015;27;37;39;53;60;0;
3971;29/12/2015;32;47;53;60;65;0;
3970;28/12/2015;9;34;59;61;79;0;
3969;26/12/2015;5;6;8;28;48;0;
3968;24/12/2015;14;18;25;75;76;0;
3967;23/12/2015;8;41;42;53;75;0;
3966;22/12/2015;11;17;38;39;72;0;
3965;21/12/2015;18;23;40;70;73;0;
3964;19/12/2015;7;33;56;59;64;0;
3963;18/12/2015;23;36;65;70;80;0;
3962;17/12/2015;36;46;57;61;72;0;
3961;16/12/2015;9;10;23;24;63;0;
3960;15/12/2015;33;34;43;47;57;1;15.678.501,07
3959;14/12/2015;27;39;56;73;76;0;
3958;12/12/2015;19;21;55;63;70;0;
3957;11/12/2015;23;38;42;49;79;0;
3956;10/12/2015;21;31;39;56;61;0;
3955;09/12/2015;10;38;53;54;67;0;
3954;08/12/2015;4;13;16;49;74;0;
3953;07/12/2015;11;19;36;37;40;0;
3952;05/12/2015;31;49;56;62;66;0;
3951;04/12/2015;12;26;48;52;61;0;
3950;03/12/2015;19;24;37;49;74;0;
3949;02/12/2015;16;29;31;47;69;0;
3948;01/12/2015;19;26;61;74;79;0;
3947;30/11/2015;10;54;56;66;80;0;
3946;28/11/2015;12;21;49;56;73;0;
3945;27/11/2015;6;10;20;22;75;1;3.401.250,49
3944;26/11/2015;13;36;49;69;70;0;
3943;25/11/2015;5;12;22;29;60;0;
3942;24/11/2015;34;39;40;41;69;0;
3941;23/11/2015;5;13;15;45;53;0;
3940;21/11/2015;10;19;33;40;80;1;612.197,11
3939;20/11/2015;43;44;45;53;74;1;434.435,24
3938;19/11/2015;29;40;54;69;73;1;4.539.412,19
3937;18/11/2015;22;28;45;48;62;0;
3936;17/11/2015;11;13;29;60;76;0;
3935;16/11/2015;7;19;41;43;45;0;
3934;14/11/2015;7;18;43;53;79;0;
3933;13/11/2015;6;24;34;67;74;0;
3932;12/11/2015;2;24;27;48;67;1;1.293.530,98
3931;11/11/2015;6;28;47;64;67;0;
3930;10/11/2015;13;25;34;46;61;1;566.413,95
3929;09/11/2015;6;13;28;32;41;1;4.971.174,84
3928;07/11/2015;18;41;43;59;71;0;
3927;06/11/2015;15;46;56;57;80;0;
3926;05/11/2015;7;12;17;51;53;0;
3925;04/11/2015;8;15;20;24;47;0;
3924;03/11/2015;10;24;31;42;48;0;
3923;31/10/2015;4;38;44;49;66;2;7.822.512,35
3922;30/10/2015;17;22;44;68;78;0;
3921;29/10/2015;31;32;49;50;54;0;
3920;28/10/2015;8;10;31;70;80;0;
3919;27/10/2015;27;38;66;70;76;0;
3918;26/10/2015;12;13;31;49;65;0;
3917;24/10/2015;8;41;47;66;75;0;
3916;23/10/2015;13;26;44;64;68;0;
3915;22/10/2015;1;18;68;79;80;0;
3914;21/10/2015;1;16;32;36;74;0;
3913;20/10/2015;43;48;50;65;66;0;
3912;19/10/2015;17;29;34;48;58;0;
3911;17/10/2015;3;8;34;53;72;0;
3910;16/10/2015;21;32;43;44;76;0;
3909;15/10/2015;31;44;46;52;55;0;
3908;14/10/2015;19;23;35;48;53;1;596.802,08
3907;13/10/2015;6;13;35;46;49;1;7.112.713,62
3906;10/10/2015;6;27;42;59;61;0;
3905;09/10/2015;4;6;21;58;73;0;
3904;08/10/2015;34;35;36;50;55;0;
3903;07/10/2015;12;38;47;77;78;0;
3902;06/10/2015;15;30;37;49;62;0;
3901;05/10/2015;53;62;64;73;76;0;
3900;03/10/2015;35;43;47;56;57;0;
3899;02/10/2015;10;27;47;65;74;1;3.760.900,01
3898;01/10/2015;23;32;56;76;77;0;
3897;30/09/2015;31;39;45;69;78;0;
3896;29/09/2015;12;37;39;47;55;0;
3895;28/09/2015;5;6;47;55;66;0;
3894;26/09/2015;5;14;18;43;76;1;11.300.011,40
3893;25/09/2015;3;4;5;34;75;0;
3892;24/09/2015;1;8;23;41;59;0;
3891;23/09/2015;13;32;34;54;78;0;
3890;22/09/2015;18;27;51;69;73;0;
3889;21/09/2015;17;39;53;57;73;0;
3888;19/09/2015;14;40;42;51;63;0;
3887;18/09/2015;6;20;24;47;70;0;
3886;17/09/2015;17;43;49;63;71;0;
3885;16/09/2015;11;24;28;41;71;0;
3884;15/09/2015;29;46;48;49;66;0;
3883;14/09/2015;26;33;51;55;69;0;
3882;12/09/2015;2;21;22;37;79;1;1.249.337,49
3881;11/09/2015;10;17;50;59;75;0;
3880;10/09/2015;24;33;35;38;42;1;3.371.536,49
3879;09/09/2015;5;20;52;58;64;0;
3878;08/09/2015;19;40;50;70;74;0;
3877;05/09/2015;25;27;30;32;65;0;
3876;04/09/2015;15;30;50;58;79;0;
3875;03/09/2015;2;28;29;56;60;1;561.002,68
3874;02/09/2015;5;7;32;58;69;1;2.790.932,01
3873;01/09/2015;5;10;23;76;77;0;
3872;31/08/2015;3;13;44;53;70;0;
3871;29/08/2015;4;15;41;66;71;0;
3870;28/08/2015;3;39;44;76;77;1;572.996,76
3869;27/08/2015;11;19;27;44;78;3;645.444,71
3868;26/08/2015;10;14;31;46;74;0;
3867;25/08/2015;3;21;35;55;70;0;
3866;24/08/2015;4;8;16;43;80;1;4.758.814,37
3865;22/08/2015;32;61;65;70;80;0;
3864;21/08/2015;11;21;31;43;62;0;
3863;20/08/2015;2;42;59;62;67;0;
3862;19/08/2015;1;32;56;70;77;0;
3861;18/08/2015;8;29;51;61;79;0;
3860;17/08/2015;7;13;38;56;70;2;1.489.431,08
3859;15/08/2015;7;29;38;57;76;0;
3858;14/08/2015;17;26;28;50;72;0;
3857;13/08/2015;8;16;18;22;34;0;
3856;12/08/2015;6;24;38;54;72;1;2.170.307,31
3855;11/08/2015;12;17;65;77;79;0;
3854;10/08/2015;3;32;55;79;80;0;
3853;08/08/2015;10;34;40;47;52;1;685.059,34
3852;07/08/2015;9;34;38;48;51;1;10.110.248,16
3851;06/08/2015;16;27;33;45;75;0;
3850;05/08/2015;15;21;23;40;43;0;
3849;04/08/2015;35;57;60;66;73;0;
3848;03/08/2015;29;44;52;70;76;0;
3847;01/08/2015;10;50;57;67;70;0;
3846;31/07/2015;6;10;19;23;33;0;
3845;30/07/2015;1;10;12;15;72;0;
3844;29/07/2015;4;9;52;66;80;0;
3843;28/07/2015;11;34;40;43;52;0;
3842;27/07/2015;3;13;35;57;77;1;9.819.361,49
3841;25/07/2015;6;8;34;53;61;0;
3840;24/07/2015;21;22;34;49;77;0;
3839;23/07/2015;4;40;51;59;62;0;
3838;22/07/2015;11;20;50;58;74;0;
3837;21/07/2015;5;31;47;72;78;0;
3836;20/07/2015;2;10;26;41;47;0;
3835;18/07/2015;43;52;53;72;80;0;
3834;17/07/2015;11;19;38;40;58;0;
3833;16/07/2015;2;8;36;46;65;0;
3832;15/07/2015;17;36;37;64;66;1;7.043.398,37
3831;14/07/2015;48;56;57;58;64;0;
3830;13/07/2015;1;12;43;58;80;0;
3829;11/07/2015;10;15;37;46;60;0;
3828;10/07/2015;27;50;57;70;72;0;
3827;09/07/2015;17;31;54;73;80;0;
3826;08/07/2015;6;34;37;45;75;0;
3825;07/07/2015;7;16;40;60;67;0;
3824;06/07/2015;2;11;17;29;67;1;1.404.345,01
3823;04/07/2015;5;43;55;62;76;0;
3822;03/07/2015;32;48;59;65;71;1;6.887.969,69
3821;02/07/2015;11;15;16;24;44;0;
3820;01/07/2015;42;53;61;73;80;0;
3819;30/06/2015;20;37;39;61;72;0;
3818;29/06/2015;11;15;32;39;51;0;
3817;27/06/2015;25;45;59;68;75;0;
3816;26/06/2015;19;42;67;72;77;0;
3815;25/06/2015;34;36;52;56;63;0;
3814;24/06/2015;1;15;22;23;47;9;14.406.883,11
3813;15/06/2015;2;4;11;28;35;0;
3812;13/06/2015;32;43;64;65;71;0;
3811;12/06/2015;1;16;30;73;80;0;
3810;11/06/2015;9;39;44;65;67;0;
3809;10/06/2015;30;33;61;66;67;0;
3808;09/06/2015;6;27;47;68;78;1;610.494,27
3807;08/06/2015;6;18;28;49;53;1;4.234.763,66
3806;06/06/2015;13;18;29;51;52;0;
3805;05/06/2015;5;17;50;72;75;0;
3804;03/06/2015;2;38;45;47;72;0;
3803;02/06/2015;15;32;36;38;53;0;
3802;01/06/2015;8;40;57;62;73;1;7.510.104,91
3801;30/05/2015;9;47;62;64;76;0;
3800;29/05/2015;17;40;55;59;68;0;
3799;28/05/2015;30;36;43;63;72;0;
3798;27/05/2015;14;27;30;31;68;0;
3797;26/05/2015;3;25;33;35;76;0;
3796;25/05/2015;16;25;66;69;78;0;
3795;23/05/2015;5;49;51;65;76;0;
3794;22/05/2015;2;11;20;27;51;1;6.118.632,14
3793;21/05/2015;2;5;46;48;65;0;
3792;20/05/2015;4;30;40;54;57;0;
3791;19/05/2015;17;26;37;66;79;0;
3790;18/05/2015;2;8;23;69;75;0;
3789;16/05/2015;21;23;29;49;77;0;
3788;15/05/2015;8;26;31;41;78;0;
3787;14/05/2015;17;35;55;69;75;1;585.165,89
3786;13/05/2015;5;7;59;60;73;1;1.313.397,89
3785;12/05/2015;23;29;49;76;79;0;
3784;11/05/2015;6;27;61;70;72;1;3.003.203,64
3783;09/05/2015;13;39;40;50;66;0;
3782;08/05/2015;6;20;24;42;57;0;
3781;07/05/2015;45;47;49;74;80;0;
3780;06/05/2015;1;7;15;22;71;3;705.577,11
3779;05/05/2015;21;30;31;43;54;0;
3778;04/05/2015;2;5;32;49;60;0;
3777;02/05/2015;5;18;19;31;45;1;2.902.069,24
3776;30/04/2015;42;61;64;67;79;0;
3775;29/04/2015;14;29;44;45;47;0;
3774;28/04/2015;1;20;56;71;79;0;
3773;27/04/2015;31;50;59;70;74;1;574.925,29
3772;25/04/2015;4;7;16;19;62;3;679.131,73
3771;24/04/2015;12;16;30;55;68;0;
3770;23/04/2015;6;13;15;22;32;0;
3769;22/04/2015;36;52;58;67;76;1;2.132.942,45
3768;20/04/2015;15;16;28;55;67;0;
3767;18/04/2015;17;21;28;34;63;0;
3766;17/04/2015;2;8;27;33;55;2;304.228,03
3765;16/04/2015;11;38;39;58;68;1;3.020.122,56
3764;15/04/2015;4;33;50;54;80;0;
3763;14/04/2015;4;8;23;60;71;0;
3762;13/04/2015;26;48;56;63;69;0;
3761;11/04/2015;6;9;29;46;48;1;6.431.487,21
3760;10/04/2015;9;38;69;71;73;0;
3759;09/04/2015;3;23;34;45;53;0;
3758;08/04/2015;8;27;28;60;71;0;
3757;07/04/2015;27;30;48;57;67;0;
3756;06/04/2015;2;27;54;56;63;0;
3755;04/04/2015;16;41;63;68;78;0;
3754;02/04/2015;2;16;21;65;79;1;5.093.023,44
3753;01/04/2015;1;14;15;22;36;0;
3752;31/03/2015;14;15;27;29;67;0;
3751;30/03/2015;43;50;65;66;68;0;
3750;28/03/2015;20;30;42;64;74;0;
3749;27/03/2015;16;20;29;33;47;0;
3748;26/03/2015;4;14;24;37;78;1;1.279.523,73
3747;25/03/2015;6;8;14;20;58;0;
3746;24/03/2015;57;62;65;73;80;2;2.593.840,97
3745;23/03/2015;2;12;67;75;78;0;
3744;21/03/2015;21;44;50;66;80;0;
3743;20/03/2015;7;16;32;68;78;0;
3742;19/03/2015;2;3;15;45;75;0;
3741;18/03/2015;19;23;72;79;80;0;
3740;17/03/2015;17;45;52;73;77;1;1.283.521,93
3739;16/03/2015;28;45;56;63;68;0;
3738;14/03/2015;5;29;55;62;68;1;1.354.897,59
3737;13/03/2015;4;20;35;50;52;0;
3736;12/03/2015;7;22;24;39;58;1;1.365.034,33
3735;11/03/2015;17;29;44;71;75;0;
3734;10/03/2015;8;9;33;39;45;1;1.344.037,73
3733;09/03/2015;20;24;39;45;77;0;
3732;07/03/2015;5;13;19;34;50;2;738.733,71
3731;06/03/2015;33;41;43;75;79;0;
3730;05/03/2015;17;18;26;46;59;1;1.475.595,84
3729;04/03/2015;3;15;16;19;72;0;
3728;03/03/2015;6;32;54;71;78;3;475.205,24
3727;02/03/2015;8;31;37;45;71;0;
3726;28/02/2015;12;50;59;73;80;1;8.606.629,13
3725;27/02/2015;33;40;56;70;74;0;
3724;26/02/2015;4;32;46;54;66;0;
3723;25/02/2015;23;39;44;52;69;0;
3722;24/02/2015;8;32;42;64;73;0;
3721;23/02/2015;17;39;44;49;57;0;
3720;21/02/2015;23;31;33;34;40;0;
3719;20/02/2015;4;20;21;55;56;0;
3718;19/02/2015;7;30;36;50;66;1;3.074.887,64
3717;18/02/2015;30;37;38;52;55;0;
3716;14/02/2015;18;34;65;66;80;0;
3715;13/02/2015;26;28;31;33;62;0;
3714;12/02/2015;19;23;26;53;56;2;1.116.044,51
3713;11/02/2015;21;39;41;49;54;0;
3712;10/02/2015;1;19;26;60;61;0;
3711;09/02/2015;18;32;55;64;73;1;14.446.927,13
3710;07/02/2015;10;18;55;58;80;0;
3709;06/02/2015;6;11;25;35;74;0;
3708;05/02/2015;18;21;47;48;62;0;
3707;04/02/2015;5;19;34;70;72;0;
